#           x             T        mag(U)             p           rho
        -4.99       348.432   1.42302e-10        100000      0.999687
        -4.98       348.432   4.32377e-10        100000      0.999687
        -4.97       348.432   4.93181e-10        100000      0.999687
        -4.96       348.432   2.77661e-10        100000      0.999687
        -4.95       348.432   2.24033e-10        100000      0.999687
        -4.94       348.432   2.27258e-10        100000      0.999687
        -4.93       348.432   1.91813e-10        100000      0.999687
        -4.92       348.432   4.05807e-10        100000      0.999687
        -4.91       348.432   4.81215e-10        100000      0.999687
         -4.9       348.432   2.16395e-10        100000      0.999687
        -4.89       348.432   1.43115e-10        100000      0.999687
        -4.88       348.432    1.8631e-10        100000      0.999687
        -4.87       348.432   2.04906e-10        100000      0.999687
        -4.86       348.432   3.97466e-10        100000      0.999687
        -4.85       348.432   4.01868e-10        100000      0.999687
        -4.84       348.432   2.39281e-10        100000      0.999687
        -4.83       348.432   2.52559e-10        100000      0.999687
        -4.82       348.432   1.21729e-10        100000      0.999687
        -4.81       348.432   7.65053e-11        100000      0.999687
         -4.8       348.432    3.9694e-10        100000      0.999687
        -4.79       348.432   4.00034e-10        100000      0.999687
        -4.78       348.432   3.95511e-10        100000      0.999687
        -4.77       348.432   4.13799e-10        100000      0.999687
        -4.76       348.432   1.42402e-10        100000      0.999687
        -4.75       348.432   1.26913e-10        100000      0.999687
        -4.74       348.432   3.44457e-10        100000      0.999687
        -4.73       348.432   3.46735e-10        100000      0.999687
        -4.72       348.432   5.63503e-10        100000      0.999687
        -4.71       348.432   5.80065e-10        100000      0.999687
         -4.7       348.432   4.95906e-10        100000      0.999687
        -4.69       348.432   4.90393e-10        100000      0.999687
        -4.68       348.432   3.46371e-11        100000      0.999687
        -4.67       348.432   2.37362e-11        100000      0.999687
        -4.66       348.432   4.44883e-10        100000      0.999687
        -4.65       348.432   4.38754e-10        100000      0.999687
        -4.64       348.432   6.66157e-10        100000      0.999687
        -4.63       348.432   6.75499e-10        100000      0.999687
        -4.62       348.432   4.26863e-10        100000      0.999687
        -4.61       348.432   4.34331e-10        100000      0.999687
         -4.6       348.432   7.10559e-11        100000      0.999687
        -4.59       348.432   6.65561e-11        100000      0.999687
        -4.58       348.432   4.78754e-10        100000      0.999687
        -4.57       348.432   4.75333e-10        100000      0.999687
        -4.56       348.432    4.0112e-10        100000      0.999687
        -4.55       348.432   3.91062e-10        100000      0.999687
        -4.54       348.432   6.05588e-11        100000      0.999687
        -4.53       348.432   6.30225e-11        100000      0.999687
        -4.52       348.432   5.31141e-10        100000      0.999687
        -4.51       348.432   5.47299e-10        100000      0.999687
         -4.5       348.432   5.51114e-10        100000      0.999687
        -4.49       348.432    5.3217e-10        100000      0.999687
        -4.48       348.432   2.84798e-11        100000      0.999687
        -4.47       348.432    2.8447e-11        100000      0.999687
        -4.46       348.432   9.65512e-10        100000      0.999687
        -4.45       348.432   9.78273e-10        100000      0.999687
        -4.44       348.432   1.76681e-09        100000      0.999687
        -4.43       348.432   1.75769e-09        100000      0.999687
        -4.42       348.432   1.96934e-09        100000      0.999687
        -4.41       348.432   1.99734e-09        100000      0.999687
         -4.4       348.432   1.45337e-09        100000      0.999687
        -4.39       348.432   1.44101e-09        100000      0.999687
        -4.38       348.432   3.15148e-10        100000      0.999687
        -4.37       348.432   3.33052e-10        100000      0.999687
        -4.36       348.432   1.08221e-09        100000      0.999687
        -4.35       348.432   1.12572e-09        100000      0.999687
        -4.34       348.432   2.31739e-09        100000      0.999687
        -4.33       348.432   2.28537e-09        100000      0.999687
        -4.32       348.432   3.09908e-09        100000      0.999687
        -4.31       348.432   3.08664e-09        100000      0.999687
         -4.3       348.432   3.46865e-09        100000      0.999687
        -4.29       348.432   3.54531e-09        100000      0.999687
        -4.28       348.432    3.5776e-09        100000      0.999687
        -4.27       348.432   3.57403e-09        100000      0.999687
        -4.26       348.432   3.39401e-09        100000      0.999687
        -4.25       348.432   3.29874e-09        100000      0.999687
        -4.24       348.432   2.98927e-09        100000      0.999687
        -4.23       348.432   3.07511e-09        100000      0.999687
        -4.22       348.432   2.63391e-09        100000      0.999687
        -4.21       348.432   2.68912e-09        100000      0.999687
         -4.2       348.432   2.03681e-09        100000      0.999687
        -4.19       348.432   1.99533e-09        100000      0.999687
        -4.18       348.432   1.08695e-09        100000      0.999687
        -4.17       348.432    9.8814e-10        100000      0.999687
        -4.16       348.432   1.57732e-10        100000      0.999687
        -4.15       348.432   2.16974e-10        100000      0.999687
        -4.14       348.432   1.37412e-09        100000      0.999687
        -4.13       348.432   1.42258e-09        100000      0.999687
        -4.12       348.432   2.47266e-09        100000      0.999687
        -4.11       348.432   2.45931e-09        100000      0.999687
         -4.1       348.432   3.33373e-09        100000      0.999687
        -4.09       348.432   3.27062e-09        100000      0.999687
        -4.08       348.432   4.00391e-09        100000      0.999687
        -4.07       348.432   3.98015e-09        100000      0.999687
        -4.06       348.432   4.61318e-09        100000      0.999687
        -4.05       348.432   4.64921e-09        100000      0.999687
        -4.04       348.432   5.17788e-09        100000      0.999687
        -4.03       348.432   5.16097e-09        100000      0.999687
        -4.02       348.432   5.51937e-09        100000      0.999687
        -4.01       348.432   5.48935e-09        100000      0.999687
           -4       348.432    5.6559e-09        100000      0.999687
        -3.99       348.432   5.64844e-09        100000      0.999687
        -3.98       348.432   5.63304e-09        100000      0.999687
        -3.97       348.432   5.65519e-09        100000      0.999687
        -3.96       348.432   5.50849e-09        100000      0.999687
        -3.95       348.432   5.52565e-09        100000      0.999687
        -3.94       348.432    5.2804e-09        100000      0.999687
        -3.93       348.432   5.28135e-09        100000      0.999687
        -3.92       348.432   4.98979e-09        100000      0.999687
        -3.91       348.432   4.98828e-09        100000      0.999687
         -3.9       348.432   4.65717e-09        100000      0.999687
        -3.89       348.432   4.68001e-09        100000      0.999687
        -3.88       348.432   4.32268e-09        100000      0.999687
        -3.87       348.432   4.35786e-09        100000      0.999687
        -3.86       348.432   3.92642e-09        100000      0.999687
        -3.85       348.432   3.95696e-09        100000      0.999687
        -3.84       348.432   3.42796e-09        100000      0.999687
        -3.83       348.432   3.42372e-09        100000      0.999687
        -3.82       348.432   2.76272e-09        100000      0.999687
        -3.81       348.432   2.73105e-09        100000      0.999687
         -3.8       348.432   1.91743e-09        100000      0.999687
        -3.79       348.432   1.85735e-09        100000      0.999687
        -3.78       348.432   9.12443e-10        100000      0.999687
        -3.77       348.432   9.02692e-10        100000      0.999687
        -3.76       348.432   1.29911e-10        100000      0.999687
        -3.75       348.432   2.08063e-10        100000      0.999687
        -3.74       348.432   1.19607e-09        100000      0.999687
        -3.73       348.432   1.24229e-09        100000      0.999687
        -3.72       348.432   2.13957e-09        100000      0.999687
        -3.71       348.432    2.1831e-09        100000      0.999687
         -3.7       348.432   2.87055e-09        100000      0.999687
        -3.69       348.432   2.87754e-09        100000      0.999687
        -3.68       348.432   3.30312e-09        100000      0.999687
        -3.67       348.432   3.27838e-09        100000      0.999687
        -3.66       348.432   3.37787e-09        100000      0.999687
        -3.65       348.432   3.33139e-09        100000      0.999687
        -3.64       348.432    2.9667e-09        100000      0.999687
        -3.63       348.432   2.89838e-09        100000      0.999687
        -3.62       348.432   2.10794e-09        100000      0.999687
        -3.61       348.432   2.07102e-09        100000      0.999687
         -3.6       348.432   1.04306e-09        100000      0.999687
        -3.59       348.432   1.07002e-09        100000      0.999687
        -3.58       348.432   7.23528e-11        100000      0.999687
        -3.57       348.432   6.23999e-11        100000      0.999687
        -3.56       348.432   9.26112e-10        100000      0.999687
        -3.55       348.432   8.94539e-10        100000      0.999687
        -3.54       348.432   1.26283e-09        100000      0.999687
        -3.53       348.432   1.29938e-09        100000      0.999687
        -3.52       348.432    1.0027e-09        100000      0.999687
        -3.51       348.432   1.09327e-09        100000      0.999687
         -3.5       348.432   3.21813e-10        100000      0.999687
        -3.49       348.432   3.72667e-10        100000      0.999687
        -3.48       348.432   8.45736e-10        100000      0.999687
        -3.47       348.432   8.76537e-10        100000      0.999687
        -3.46       348.432    1.5883e-09        100000      0.999687
        -3.45       348.432   1.59922e-09        100000      0.999687
        -3.44       348.432    2.0661e-09        100000      0.999687
        -3.43       348.432   2.07604e-09        100000      0.999687
        -3.42       348.432   2.07679e-09        100000      0.999687
        -3.41       348.432   2.04343e-09        100000      0.999687
         -3.4       348.432   1.41799e-09        100000      0.999687
        -3.39       348.432   1.35596e-09        100000      0.999687
        -3.38       348.432   4.83119e-10        100000      0.999687
        -3.37       348.432   4.35628e-10        100000      0.999687
        -3.36       348.432   3.26671e-10        100000      0.999687
        -3.35       348.432   3.23425e-10        100000      0.999687
        -3.34       348.432   4.15194e-10        100000      0.999687
        -3.33       348.432   3.28594e-10        100000      0.999687
        -3.32       348.432   2.37698e-10        100000      0.999687
        -3.31       348.432   3.56226e-10        100000      0.999687
         -3.3       348.432   2.33366e-10        100000      0.999687
        -3.29       348.432    2.8179e-10        100000      0.999687
        -3.28       348.432   2.57619e-10        100000      0.999687
        -3.27       348.432   1.73239e-10        100000      0.999687
        -3.26       348.432   3.86529e-10        100000      0.999687
        -3.25       348.432   3.52559e-10        100000      0.999687
        -3.24       348.432   2.79514e-10        100000      0.999687
        -3.23       348.432   3.49951e-10        100000      0.999687
        -3.22       348.432   3.36071e-10        100000      0.999687
        -3.21       348.432   3.94182e-10        100000      0.999687
         -3.2       348.432   7.35631e-10        100000      0.999687
        -3.19       348.432   5.52907e-10        100000      0.999687
        -3.18       348.432   3.02318e-10        100000      0.999687
        -3.17       348.432   6.29299e-10        100000      0.999687
        -3.16       348.432   7.13366e-10        100000      0.999687
        -3.15       348.432   7.66383e-10        100000      0.999687
        -3.14       348.432   1.27618e-09        100000      0.999687
        -3.13       348.432   9.55832e-10        100000      0.999687
        -3.12       348.432   7.34831e-10        100000      0.999687
        -3.11       348.432   1.11833e-09        100000      0.999687
         -3.1       348.432    7.1272e-10        100000      0.999687
        -3.09       348.432   4.47723e-10        100000      0.999687
        -3.08       348.432   1.47842e-09        100000      0.999687
        -3.07       348.432   1.82447e-09        100000      0.999687
        -3.06       348.432   1.72179e-09        100000      0.999687
        -3.05       348.432   1.59869e-09        100000      0.999687
        -3.04       348.432   6.48182e-10        100000      0.999687
        -3.03       348.432   6.41972e-10        100000      0.999687
        -3.02       348.432   3.12622e-09        100000      0.999687
        -3.01       348.432   6.21783e-09        100000      0.999687
           -3       348.432   6.62446e-09        100000      0.999687
        -2.99       348.432    1.2746e-08        100000      0.999687
        -2.98       348.432   2.89878e-08        100000      0.999687
        -2.97       348.432   5.71003e-08        100000      0.999687
        -2.96       348.432   1.09815e-07        100000      0.999687
        -2.95       348.432   2.16503e-07        100000      0.999687
        -2.94       348.432   4.03881e-07        100000      0.999687
        -2.93       348.432   7.73555e-07        100000      0.999687
        -2.92       348.432   1.44095e-06        100000      0.999687
        -2.91       348.432   2.71646e-06        100000      0.999687
         -2.9       348.432   4.97016e-06        100000      0.999687
        -2.89       348.432    9.2116e-06        100000      0.999687
        -2.88       348.432   1.65846e-05        100000      0.999687
        -2.87       348.432   3.01611e-05        100000      0.999687
        -2.86       348.432   5.34238e-05        100000      0.999686
        -2.85       348.432   9.53203e-05        100000      0.999686
        -2.84       348.432   0.000165926       99999.9      0.999686
        -2.83       348.432   0.000290232       99999.9      0.999686
        -2.82       348.432   0.000496093       99999.9      0.999686
        -2.81       348.432   0.000849959       99999.7      0.999685
         -2.8       348.432    0.00142526       99999.5      0.999683
        -2.79       348.431    0.00238955       99999.1       0.99968
        -2.78        348.43    0.00392641       99998.5      0.999676
        -2.77       348.429    0.00643457       99997.6      0.999669
        -2.76       348.428      0.010347       99996.1      0.999659
        -2.75       348.425     0.0165526       99993.9      0.999642
        -2.74       348.422      0.026008       99990.3      0.999617
        -2.73       348.417     0.0405526         99985      0.999578
        -2.72       348.409     0.0621475       99976.9       0.99952
        -2.71       348.397     0.0942801         99965      0.999434
         -2.7        348.38      0.140632       99947.6      0.999309
        -2.69       348.355      0.207152         99923      0.999131
        -2.68       348.319      0.300059       99888.3      0.998881
        -2.67       348.272      0.428237       99840.7      0.998538
        -2.66       348.207      0.600885       99776.4      0.998076
        -2.65       348.122       0.82917       99691.5      0.997464
        -2.64       348.012        1.1245       99581.8      0.996675
        -2.63       347.872       1.49785       99442.9      0.995677
        -2.62         347.7       1.96014       99271.6      0.994445
        -2.61       347.491       2.51828       99064.6      0.992956
         -2.6       347.245       3.17842       98820.6      0.991202
        -2.59       346.962       3.94033       98539.1      0.989178
        -2.58       346.641       4.80178         98222      0.986896
        -2.57       346.286        5.7552       97871.8      0.984375
        -2.56       345.902       6.79002       97492.5      0.981645
        -2.55       345.492       7.89407       97089.5      0.978741
        -2.54       345.062       9.05283       96667.9      0.975699
        -2.53       344.618       10.2532       96232.8      0.972559
        -2.52       344.163       11.4822       95788.9      0.969351
        -2.51       343.701       12.7288       95340.2      0.966106
         -2.5       343.236       13.9845       94890.3      0.962847
        -2.49       342.772       15.2424       94441.3      0.959591
        -2.48       342.308       16.4979         93995       0.95635
        -2.47       341.846       17.7482       93552.3      0.953132
        -2.46       341.387       18.9916       93113.8      0.949941
        -2.45       340.932       20.2274       92679.7      0.946776
        -2.44        340.48        21.456       92249.9      0.943639
        -2.43        340.03       22.6777       91824.1      0.940527
        -2.42       339.582       23.8935       91402.1      0.937439
        -2.41       339.137       25.1042       90983.6      0.934373
         -2.4       338.694       26.3103       90568.3      0.931324
        -2.39       338.252       27.5129       90155.9      0.928294
        -2.38       337.812       28.7126         89746      0.925279
        -2.37       337.374       29.9097       89338.5      0.922276
        -2.36       336.935        31.105       88933.4      0.919288
        -2.35       336.498       32.2987       88530.2      0.916311
        -2.34       336.062       33.4911       88129.1      0.913345
        -2.33       335.626       34.6823         87730      0.910389
        -2.32       335.192       35.8728       87332.7      0.907442
        -2.31       334.757       37.0625       86937.1      0.904505
         -2.3       334.323       38.2516       86543.4      0.901578
        -2.29       333.889       39.4402       86151.2      0.898659
        -2.28       333.456       40.6282       85760.8      0.895749
        -2.27       333.023       41.8159       85372.1      0.892847
        -2.26       332.591       43.0033         84985      0.889954
        -2.25       332.159       44.1903       84599.4      0.887069
        -2.24       331.727        45.377       84215.4      0.884192
        -2.23       331.297       46.5635       83833.1      0.881323
        -2.22       330.865       47.7498       83452.3      0.878462
        -2.21       330.435        48.936       83073.1      0.875609
         -2.2       330.005       50.1219       82695.3      0.872764
        -2.19       329.576       51.3076       82319.1      0.869927
        -2.18       329.146       52.4933       81944.4      0.867098
        -2.17       328.716       53.6788       81571.1      0.864276
        -2.16       328.288       54.8642       81199.4      0.861462
        -2.15        327.86       56.0495       80829.2      0.858655
        -2.14       327.431       57.2347       80460.5      0.855856
        -2.13       327.004       58.4198       80093.2      0.853064
        -2.12       326.576       59.6048       79727.4       0.85028
        -2.11       326.149       60.7898         79363      0.847503
         -2.1       325.722       61.9748       79000.1      0.844733
        -2.09       325.296       63.1596       78638.6      0.841971
        -2.08       324.869       64.3444       78278.6      0.839217
        -2.07       324.443       65.5292       77920.1      0.836469
        -2.06       324.017       66.7139       77562.9      0.833729
        -2.05       323.591       67.8986       77207.1      0.830997
        -2.04       323.167       69.0832       76852.6      0.828271
        -2.03       322.741       70.2679       76499.7      0.825553
        -2.02       322.317       71.4525       76148.1      0.822841
        -2.01       321.893       72.6371       75797.9      0.820137
           -2       321.469       73.8217       75449.1      0.817441
        -1.99       321.045       75.0062       75101.8       0.81475
        -1.98       320.622       76.1908       74755.7      0.812067
        -1.97       320.199       77.3753       74411.1      0.809392
        -1.96       319.776       78.5599       74067.8      0.806723
        -1.95       319.353       79.7443       73725.8      0.804062
        -1.94       318.931       80.9289       73385.2      0.801408
        -1.93       318.509       82.1134         73046      0.798761
        -1.92       318.087       83.2979       72708.1      0.796121
        -1.91       317.665       84.4825       72371.6      0.793487
         -1.9       317.245        85.667       72036.4       0.79086
        -1.89       316.823       86.8515       71702.5      0.788241
        -1.88       316.403        88.036       71369.9      0.785629
        -1.87       315.982       89.2206       71038.6      0.783023
        -1.86       315.562       90.4051       70708.8      0.780425
        -1.85       315.142       91.5897       70380.1      0.777832
        -1.84       314.723       92.7743       70052.8      0.775247
        -1.83       314.303       93.9589       69726.8       0.77267
        -1.82       313.885       95.1435       69402.1      0.770098
        -1.81       313.466       96.3281       69078.7      0.767533
         -1.8       313.048       97.5127       68756.6      0.764976
        -1.79        312.63       98.6974       68435.7      0.762425
        -1.78       312.212       99.8819       68116.1      0.759881
        -1.77       311.794       101.067       67797.9      0.757344
        -1.76       311.376       102.251       67480.9      0.754813
        -1.75       310.959       103.436       67165.1      0.752289
        -1.74       310.543        104.62       66850.6      0.749772
        -1.73       310.126       105.805       66537.4      0.747262
        -1.72        309.71        106.99       66225.5      0.744758
        -1.71       309.294       108.175       65914.8      0.742261
         -1.7       308.879       109.359       65605.2       0.73977
        -1.69       308.463       110.544         65297      0.737286
        -1.68       308.048        111.73         64990      0.734809
        -1.67       307.633       112.915       64684.2      0.732339
        -1.66       307.219         114.1       64379.8      0.729875
        -1.65       306.804       115.284       64076.4      0.727418
        -1.64        306.39       116.469       63774.3      0.724967
        -1.63       305.976       117.654       63473.4      0.722522
        -1.62       305.563       118.838       63173.8      0.720085
        -1.61       305.149       120.023       62875.4      0.717654
         -1.6       304.736       121.209       62578.1      0.715229
        -1.59       304.324       122.394         62282      0.712811
        -1.58       303.911       123.579       61987.2        0.7104
        -1.57       303.499       124.764       61693.5      0.707995
        -1.56       303.087        125.95       61401.1      0.705596
        -1.55       302.676       127.135       61109.8      0.703203
        -1.54       302.264        128.32       60819.6      0.700818
        -1.53       301.854       129.505       60530.7      0.698439
        -1.52       301.442        130.69       60242.9      0.696066
        -1.51       301.032       131.875       59956.3      0.693699
         -1.5       300.622        133.06       59670.9      0.691339
        -1.49       300.212       134.245       59386.6      0.688986
        -1.48       299.802       135.431       59103.4      0.686638
        -1.47       299.392       136.617       58821.5      0.684297
        -1.46       298.983       137.802       58540.7      0.681963
        -1.45       298.575       138.987       58260.9      0.679634
        -1.44       298.166       140.173       57982.4      0.677312
        -1.43       297.758       141.357         57705      0.674996
        -1.42        297.35       142.543       57428.8      0.672687
        -1.41       296.942       143.728       57153.6      0.670384
         -1.4       296.534       144.914       56879.6      0.668087
        -1.39       296.127         146.1       56606.7      0.665797
        -1.38        295.72       147.285       56334.9      0.663512
        -1.37       295.313        148.47       56064.2      0.661234
        -1.36       294.907       149.656       55794.7      0.658963
        -1.35       294.501       150.842       55526.2      0.656697
        -1.34       294.095       152.028       55258.9      0.654437
        -1.33       293.689       153.213       54992.7      0.652184
        -1.32       293.284       154.399       54727.5      0.649937
        -1.31       292.879       155.584       54463.4      0.647695
         -1.3       292.474        156.77       54200.5       0.64546
        -1.29        292.07       157.956       53938.7      0.643232
        -1.28       291.665       159.142       53677.8      0.641009
        -1.27       291.261       160.327       53418.1      0.638792
        -1.26       290.858       161.513       53159.4      0.636583
        -1.25       290.454       162.699       52901.9      0.634378
        -1.24        290.05       163.885       52645.4       0.63218
        -1.23       289.648       165.071       52389.9      0.629988
        -1.22       289.245       166.256       52135.5      0.627802
        -1.21       288.843       167.442       51882.2      0.625622
         -1.2       288.441       168.628       51629.9      0.623447
        -1.19       288.039       169.814       51378.7      0.621279
        -1.18       287.638           171       51128.4      0.619117
        -1.17       287.236       172.186       50879.3      0.616961
        -1.16       286.836       173.372       50631.2      0.614812
        -1.15       286.434       174.558       50384.1      0.612667
        -1.14       286.034       175.744       50138.1      0.610529
        -1.13       285.634        176.93       49893.1      0.608397
        -1.12       285.234       178.116       49649.1       0.60627
        -1.11       284.834       179.302       49406.1      0.604151
         -1.1       284.435       180.488       49164.2      0.602036
        -1.09       284.036       181.674       48923.2      0.599927
        -1.08       283.637        182.86       48683.3      0.597825
        -1.07       283.239       184.046       48444.4      0.595728
        -1.06       282.841       185.232       48206.5      0.593638
        -1.05       282.443       186.418       47969.6      0.591553
        -1.04       282.046       187.604       47733.6      0.589473
        -1.03       281.648        188.79       47498.7        0.5874
        -1.02        281.25       189.976       47264.8      0.585333
        -1.01       280.854       191.162       47031.8      0.583271
           -1       280.457       192.348       46799.9      0.581215
        -0.99       280.061       193.534       46568.9      0.579165
        -0.98       279.665        194.72       46338.9      0.577122
        -0.97       279.269       195.906       46109.9      0.575083
        -0.96       278.875       197.092       45881.8      0.573051
        -0.95        278.48       198.278       45654.8      0.571024
        -0.94       278.084       199.464       45428.7      0.569002
        -0.93        277.69        200.65       45203.6      0.566987
        -0.92       277.296       201.836       44979.3      0.564977
        -0.91       276.901       203.022       44756.1      0.562974
         -0.9       276.508       204.208       44533.8      0.560975
        -0.89       276.115       205.394       44312.5      0.558983
        -0.88       275.721        206.58       44092.1      0.556997
        -0.87       275.328       207.766       43872.7      0.555015
        -0.86       274.936       208.952       43654.2       0.55304
        -0.85       274.544       210.138       43436.6      0.551071
        -0.84       274.152       211.323         43220      0.549106
        -0.83        273.76       212.509       43004.3      0.547148
        -0.82       273.369       213.695       42789.6      0.545195
        -0.81       272.977       214.881       42575.7      0.543248
         -0.8       272.587       216.066       42362.8      0.541306
        -0.79       272.197       217.252       42150.8       0.53937
        -0.78       271.806       218.438       41939.8       0.53744
        -0.77       271.416       219.623       41729.7      0.535516
        -0.76       271.026       220.809       41520.4      0.533597
        -0.75       270.637       221.994       41312.1      0.531683
        -0.74       270.248       223.179       41104.6      0.529775
        -0.73        269.86       224.364       40898.1      0.527873
        -0.72       269.471       225.549       40692.4      0.525977
        -0.71       269.083       226.735       40487.8      0.524086
         -0.7       268.695       227.921       40283.9      0.522201
        -0.69       268.308       229.106       40080.9       0.52032
        -0.68        267.92        230.29       39878.9      0.518446
        -0.67       267.534       231.475       39677.8      0.516577
        -0.66       267.147        232.66       39477.5      0.514714
        -0.65       266.761       233.845       39278.1      0.512856
        -0.64       266.375       235.029       39079.6      0.511003
        -0.63       265.989       236.214         38882      0.509156
        -0.62       265.603       237.398       38685.2      0.507315
        -0.61       265.219       238.582       38489.3      0.505479
         -0.6       264.834       239.766       38294.3      0.503649
        -0.59        264.45        240.95       38100.2      0.501824
        -0.58       264.066       242.134       37906.9      0.500005
        -0.57       263.682       243.317       37714.5      0.498192
        -0.56       263.298       244.501       37522.9      0.496383
        -0.55       262.916       245.685       37332.2       0.49458
        -0.54       262.533       246.868       37142.4      0.492783
        -0.53        262.15        248.05       36953.4      0.490992
        -0.52       261.769       249.233       36765.3      0.489205
        -0.51       261.387       250.416       36578.1      0.487424
         -0.5       261.005       251.598       36391.7      0.485649
        -0.49       260.625        252.78       36206.1       0.48388
        -0.48       260.244       253.962       36021.4      0.482116
        -0.47       259.863       255.144       35837.6      0.480357
        -0.46       259.483       256.326       35654.6      0.478604
        -0.45       259.104       257.506       35472.4      0.476857
        -0.44       258.725       258.687       35291.1      0.475114
        -0.43       258.346       259.867       35110.6      0.473379
        -0.42       257.968       261.047       34931.1      0.471648
        -0.41        257.59       262.227       34752.3      0.469923
         -0.4       257.212       263.406       34574.3      0.468203
        -0.39       256.836       264.585       34397.3       0.46649
        -0.38       256.458       265.763       34221.1      0.464782
        -0.37       256.082        266.94       34045.8      0.463081
        -0.36       255.707       268.118       33871.3      0.461384
        -0.35       255.332       269.294       33697.7      0.459693
        -0.34       254.957        270.47       33524.9      0.458009
        -0.33       254.583       271.644       33353.1      0.456332
        -0.32       254.209       272.818       33182.1      0.454659
        -0.31       253.835       273.991         33012      0.452994
         -0.3       253.463       275.163       32842.8      0.451335
        -0.29       253.091       276.333       32674.5      0.449682
